run,target_type,hyper_type,N,n_realizations,hyper_layers,target_layers,RRMSE_test,path
18-40-15,MLP,MLP,100,1,3,3,0.19197888672351837,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/18-40-15
18-57-51,MLP,MLP,1000,1,3,3,0.05456363037228584,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/18-57-51
19-15-58,MLP,MLP,10000,1,3,3,0.002646233420819044,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/19-15-58
19-37-44,MLP,MLP,100,10,3,3,0.2698136270046234,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/19-37-44
19-39-34,MLP,MLP,1000,10,3,3,0.09654991328716278,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/19-39-34
19-41-52,MLP,MLP,10000,10,3,3,0.002612664829939604,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/19-41-52
19-59-57,MLP,MLP,100,100,3,3,0.15739233791828156,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/19-59-57
20-04-20,MLP,MLP,1000,100,3,3,0.3430120348930359,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/20-04-20
20-06-15,MLP,MLP,10000,100,3,3,0.031048370525240898,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/20-06-15
20-16-30,Siren,MLP,100,1,3,3,0.25092482566833496,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/20-16-30
20-18-25,Siren,MLP,1000,1,3,3,0.018777409568428993,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/20-18-25
20-23-46,Siren,MLP,10000,1,3,3,0.0023441745433956385,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/20-23-46
20-40-31,Siren,MLP,100,10,3,3,0.2694091200828552,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/20-40-31
20-42-33,Siren,MLP,1000,10,3,3,0.03906439244747162,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/20-42-33
20-45-59,Siren,MLP,10000,10,3,3,0.003156444290652871,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/20-45-59
21-02-29,Siren,MLP,100,100,3,3,0.15978814661502838,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/21-02-29
21-04-12,Siren,MLP,1000,100,3,3,0.3861044943332672,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/21-04-12
21-06-26,Siren,MLP,10000,100,3,3,0.03340804576873779,/home/riccardorota/PACS/PACSproject/results/runs_toy/2026-06-11/21-06-26
